[Name]
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer

[Data]
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer [ m s^-1 ]
0.00000000e+000, 0.00000000e+000
2.50000012e-004, 3.38524997e-001
5.00000024e-004, 9.71481621e-001
7.50000007e-004, 1.71872616e+000
1.00000005e-003, 2.42382264e+000
1.25000009e-003, 3.15495563e+000
1.50000013e-003, 3.88046360e+000
1.75000017e-003, 4.66267729e+000
2.00000009e-003, 5.57981825e+000
2.25000014e-003, 6.35026407e+000
2.50000018e-003, 6.92372417e+000
2.75000022e-003, 7.78578424e+000
3.00000026e-003, 8.46570778e+000
3.25000030e-003, 9.20679855e+000
3.50000034e-003, 9.87275696e+000
3.75000038e-003, 1.05478821e+001
4.00000019e-003, 1.09815760e+001
4.25000023e-003, 1.14023333e+001
4.50000027e-003, 1.17671738e+001
4.75000031e-003, 1.20836592e+001
5.00000035e-003, 1.23313541e+001
5.25000039e-003, 1.24587393e+001
5.50000044e-003, 1.24741306e+001
5.75000048e-003, 1.23517780e+001
6.00000052e-003, 1.20998325e+001
6.25000056e-003, 1.17699680e+001
6.50000060e-003, 1.14101658e+001
6.75000064e-003, 1.10420732e+001
7.00000068e-003, 1.06789017e+001
7.25000072e-003, 1.03251772e+001
7.50000076e-003, 9.98492146e+000
7.75000080e-003, 9.71943569e+000
8.00000038e-003, 9.46322250e+000
8.24999996e-003, 9.22319794e+000
8.49999953e-003, 9.01058197e+000
8.74999911e-003, 8.79193592e+000
8.99999868e-003, 8.59618568e+000
9.24999826e-003, 8.39020634e+000
9.49999783e-003, 8.15840530e+000
9.74999741e-003, 7.93960571e+000
9.99999698e-003, 7.71382856e+000
1.02499966e-002, 7.46328354e+000
1.04999961e-002, 7.23452616e+000
1.07499957e-002, 6.99825859e+000
1.09999953e-002, 6.75977898e+000
1.12499949e-002, 6.54441833e+000
1.14999944e-002, 6.34272003e+000
1.17499940e-002, 6.12927055e+000
1.19999936e-002, 5.94035625e+000
1.22499932e-002, 5.75222397e+000
1.24999927e-002, 5.56796980e+000
1.27499923e-002, 5.40126467e+000
1.29999919e-002, 5.23539257e+000
1.32499915e-002, 5.08337402e+000
1.34999910e-002, 4.93674707e+000
1.37499906e-002, 4.79709530e+000
1.39999902e-002, 4.66320038e+000
1.42499898e-002, 4.54347134e+000
1.44999893e-002, 4.42790747e+000
1.47499889e-002, 4.32117414e+000
1.49999876e-002, 4.22777605e+000
1.52499881e-002, 4.13549376e+000
1.54999876e-002, 4.05359411e+000
1.57499872e-002, 3.97486067e+000
1.59999877e-002, 3.88024831e+000
1.62499882e-002, 3.81357622e+000
1.64999887e-002, 3.72493100e+000
1.67499892e-002, 3.63214898e+000
1.69999897e-002, 3.58481646e+000
1.72499903e-002, 3.54710817e+000
1.74999908e-002, 3.48337507e+000
1.77499913e-002, 3.46201134e+000
1.79999918e-002, 3.43910551e+000
1.82499923e-002, 3.38782501e+000
1.84999928e-002, 3.39662075e+000
1.87499933e-002, 3.39982700e+000
1.89999938e-002, 3.36061549e+000
1.92499943e-002, 3.40243936e+000
1.94999948e-002, 3.43289828e+000
1.97499953e-002, 3.40251446e+000
1.99999958e-002, 3.47941852e+000
2.02499963e-002, 3.53604698e+000
2.04999968e-002, 3.50912142e+000
2.07499973e-002, 3.62060666e+000
2.09999979e-002, 3.69900179e+000
2.12499984e-002, 3.66805387e+000
2.14999989e-002, 3.81042886e+000
2.17499994e-002, 3.90295839e+000
2.19999999e-002, 3.85977173e+000
2.22500004e-002, 4.02717495e+000
2.25000009e-002, 4.12445068e+000
2.27500014e-002, 4.06074286e+000
2.30000019e-002, 4.24455595e+000
2.32500024e-002, 4.33472729e+000
2.35000029e-002, 4.24249077e+000
2.37500034e-002, 4.43124104e+000
2.40000039e-002, 4.50249004e+000
2.42500044e-002, 4.37673950e+000
2.45000049e-002, 4.55953217e+000
2.47500055e-002, 4.60389328e+000
2.50000060e-002, 4.44530916e+000
2.52500065e-002, 4.61250114e+000
2.55000070e-002, 4.62654829e+000
2.57500075e-002, 4.44400167e+000
2.60000080e-002, 4.58623552e+000
2.62500085e-002, 4.57198715e+000
2.65000090e-002, 4.38484955e+000
2.67500095e-002, 4.48761320e+000
2.70000100e-002, 4.44515371e+000
2.72500105e-002, 4.26956177e+000
2.75000110e-002, 4.28991699e+000
2.77500115e-002, 4.18971682e+000
2.80000120e-002, 4.01164007e+000
2.82500125e-002, 3.86776257e+000
2.85000131e-002, 3.65394902e+000
2.87500136e-002, 3.44855809e+000
2.90000141e-002, 3.08970785e+000
2.92500146e-002, 2.76903892e+000
2.95000151e-002, 2.54028034e+000
2.97500156e-002, 2.05438256e+000
3.00000161e-002, 1.78627324e+000


