[Name]
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_upper_zone

[Data]
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_upper_zone [ m s^-1 ]
0.00000000e+000, 0.00000000e+000
2.50000012e-004, 4.06340986e-001
5.00000024e-004, 1.40509796e+000
7.50000007e-004, 2.76697111e+000
1.00000005e-003, 4.21708250e+000
1.25000009e-003, 5.74118614e+000
1.50000013e-003, 6.94571638e+000
1.75000017e-003, 7.95374107e+000
2.00000009e-003, 9.00796223e+000
2.25000014e-003, 9.97255421e+000
2.50000018e-003, 1.04927149e+001
2.75000022e-003, 1.11208649e+001
3.00000026e-003, 1.14481268e+001
3.25000030e-003, 1.17615299e+001
3.50000034e-003, 1.21413221e+001
3.75000038e-003, 1.25737629e+001
4.00000019e-003, 1.29913721e+001
4.25000023e-003, 1.34628468e+001
4.50000027e-003, 1.38235083e+001
4.75000031e-003, 1.42119646e+001
5.00000035e-003, 1.44549971e+001
5.25000039e-003, 1.43642168e+001
5.50000044e-003, 1.42381258e+001
5.75000048e-003, 1.39011145e+001
6.00000052e-003, 1.34626236e+001
6.25000056e-003, 1.31627140e+001
6.50000060e-003, 1.29466629e+001
6.75000064e-003, 1.28165760e+001
7.00000068e-003, 1.27101431e+001
7.25000072e-003, 1.25680923e+001
7.50000076e-003, 1.23365765e+001
7.75000080e-003, 1.25409393e+001
8.00000038e-003, 1.25777264e+001
8.24999996e-003, 1.25208092e+001
8.49999953e-003, 1.23779078e+001
8.74999911e-003, 1.21723776e+001
8.99999868e-003, 1.18839054e+001
9.24999826e-003, 1.15196066e+001
9.49999783e-003, 1.11436901e+001
9.74999741e-003, 1.07522144e+001
9.99999698e-003, 1.03729916e+001
1.02499966e-002, 1.00089827e+001
1.04999961e-002, 9.67055798e+000
1.07499957e-002, 9.35693073e+000
1.09999953e-002, 9.04491329e+000
1.12499949e-002, 8.72733307e+000
1.14999944e-002, 8.40211201e+000
1.17499940e-002, 8.07840633e+000
1.19999936e-002, 7.76006269e+000
1.22499932e-002, 7.45627737e+000
1.24999927e-002, 7.15731096e+000
1.27499923e-002, 6.85101891e+000
1.29999919e-002, 6.53949261e+000
1.32499915e-002, 6.23648834e+000
1.34999910e-002, 5.93007231e+000
1.37499906e-002, 5.63118029e+000
1.39999902e-002, 5.34327316e+000
1.42499898e-002, 5.05846262e+000
1.44999893e-002, 4.77829647e+000
1.47499889e-002, 4.50070238e+000
1.49999876e-002, 4.22282553e+000
1.52499881e-002, 3.94621396e+000
1.54999876e-002, 3.71486354e+000
1.57499872e-002, 3.59347177e+000
1.59999877e-002, 3.49103880e+000
1.62499882e-002, 3.33505726e+000
1.64999887e-002, 3.13570952e+000
1.67499892e-002, 2.88923335e+000
1.69999897e-002, 2.77130032e+000
1.72499903e-002, 2.66390538e+000
1.74999908e-002, 2.56907797e+000
1.77499913e-002, 2.48448491e+000
1.79999918e-002, 2.40725708e+000
1.82499923e-002, 2.33451748e+000
1.84999928e-002, 2.27162600e+000
1.87499933e-002, 2.21517539e+000
1.89999938e-002, 2.15930939e+000
1.92499943e-002, 2.11468124e+000
1.94999948e-002, 2.07530522e+000
1.97499953e-002, 2.03293061e+000
1.99999958e-002, 2.00412631e+000
2.02499963e-002, 1.97959614e+000
2.04999968e-002, 1.94799614e+000
2.07499973e-002, 1.93372130e+000
2.09999979e-002, 1.92242265e+000
2.12499984e-002, 1.89908159e+000
2.14999989e-002, 1.89873695e+000
2.17499994e-002, 1.89930713e+000
2.19999999e-002, 1.88188887e+000
2.22500004e-002, 1.89529240e+000
2.25000009e-002, 1.90623295e+000
2.27500014e-002, 1.89214969e+000
2.30000019e-002, 1.91890991e+000
2.32500024e-002, 1.93807960e+000
2.35000029e-002, 1.92418587e+000
2.37500034e-002, 1.96299875e+000
2.40000039e-002, 1.98675025e+000
2.42500044e-002, 1.96852314e+000
2.45000049e-002, 2.01576400e+000
2.47500055e-002, 2.03847504e+000
2.50000060e-002, 2.01002192e+000
2.52500065e-002, 2.05983663e+000
2.55000070e-002, 2.07497406e+000
2.57500075e-002, 2.03113222e+000
2.60000080e-002, 2.07721853e+000
2.62500085e-002, 2.07963824e+000
2.65000090e-002, 2.01954436e+000
2.67500095e-002, 2.05581999e+000
2.70000100e-002, 2.04319644e+000
2.72500105e-002, 1.97482586e+000
2.75000110e-002, 1.98887527e+000
2.77500115e-002, 1.95525348e+000
2.80000120e-002, 1.88523328e+000
2.82500125e-002, 1.84154522e+000
2.85000131e-002, 1.76142502e+000
2.87500136e-002, 1.67832494e+000
2.90000141e-002, 1.53376913e+000
2.92500146e-002, 1.39397144e+000
2.95000151e-002, 1.29201448e+000
2.97500156e-002, 1.09912276e+000
3.00000161e-002, 1.00544131e+000


