[Name],
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer,
,
[Data],
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_bottom_layer [ m s^-1 ]
0.00E+00,0
2.50E-04,0.335810125
5.00E-04,0.917410582
7.50E-04,1.908034085
1.00E-03,2.58504224
1.25E-03,3.536939625
1.50E-03,4.45211959
1.75E-03,5.405679225
2.00E-03,6.30127573
2.25E-03,7.068242785
2.50E-03,7.62500095
2.75E-03,8.275051355
3.00E-03,8.87602854
3.25E-03,9.4751935
3.50E-03,10.01227378
3.75E-03,10.53212595
4.00E-03,10.9100223
4.25E-03,11.24321465
4.50E-03,11.51698305
4.75E-03,11.69734005
5.00E-03,11.79507635
5.25E-03,11.805604
5.50E-03,11.7607803
5.75E-03,11.6409669
6.00E-03,11.4434509
6.25E-03,11.19086455
6.50E-03,10.9169569
6.75E-03,10.63364885
7.00E-03,10.34645415
7.25E-03,10.06102515
7.50E-03,9.77458954
7.75E-03,9.55353117
8.00E-03,9.337035175
8.25E-03,9.126104835
8.50E-03,8.92567539
8.75E-03,8.720068455
9.00E-03,8.52309179
9.25E-03,8.317400455
9.50E-03,8.094954965
9.75E-03,7.8764379
1.00E-02,7.652528285
1.02E-02,7.41444397
1.05E-02,7.186011555
1.07E-02,6.953983545
1.10E-02,6.721963885
1.12E-02,6.50310683
1.15E-02,6.293736695
1.17E-02,6.0815773
1.20E-02,5.885008095
1.22E-02,5.69228959
1.25E-02,5.505419495
1.27E-02,5.33052564
1.30E-02,5.16128087
1.32E-02,5.003571745
1.35E-02,4.84941101
1.37E-02,4.70871115
1.40E-02,4.57345414
1.42E-02,4.44713736
1.45E-02,4.330212355
1.47E-02,4.222157
1.50E-02,4.125063895
1.52E-02,4.03291464
1.55E-02,3.94978666
1.57E-02,3.8696481
1.60E-02,3.774622205
1.62E-02,3.713295935
1.65E-02,3.63242173
1.67E-02,3.55317795
1.70E-02,3.50958145
1.72E-02,3.478126045
1.75E-02,3.43257296
1.77E-02,3.411738635
1.80E-02,3.39472401
1.82E-02,3.367277145
1.85E-02,3.373536585
1.87E-02,3.380930305
1.90E-02,3.37099719
1.92E-02,3.40528524
1.95E-02,3.43752086
1.97E-02,3.442838075
2.00E-02,3.50511241
2.02E-02,3.560352565
2.05E-02,3.5766778
2.07E-02,3.664770605
2.10E-02,3.738591195
2.12E-02,3.759600165
2.15E-02,3.868723515
2.17E-02,3.95392418
2.20E-02,3.97178054
2.23E-02,4.09495449
2.25E-02,4.182543515
2.28E-02,4.188660625
2.30E-02,4.31696129
2.33E-02,4.39635301
2.35E-02,4.38193488
2.38E-02,4.5048883
2.40E-02,4.56553149
2.43E-02,4.52379346
2.45E-02,4.63212681
2.48E-02,4.66707015
2.50E-02,4.596610305
2.53E-02,4.685898065
2.55E-02,4.696780445
2.58E-02,4.609695195
2.60E-02,4.688629385
2.63E-02,4.695242165
2.65E-02,4.62082529
2.68E-02,4.693877935
2.70E-02,4.693815945
2.73E-02,4.62304616
2.75E-02,4.641542195
2.78E-02,4.58573008
2.80E-02,4.46981311
2.83E-02,4.33260584
2.85E-02,4.0654248
2.88E-02,3.704458475
2.90E-02,3.272222875
2.93E-02,2.869964485
2.95E-02,2.59057796
2.98E-02,2.06013882
3.00E-02,1.75617093
