[Name],,,
Series 1 at ave(Velocity)@fluid_chamber fluid_chamber_upper_zone,,,
,,,
[Data],,,
Time [ s ],ave(Velocity)@fluid_chamber fluid_chamber_upper_zone [ m s^-1 ],,
0.00E+00,0.00E+00,0,0.00E+00
2.50E-04,4.15E-01,0.333095253,3.74E-01
5.00E-04,1.69E+00,0.863339543,1.28E+00
7.50E-04,4.01E+00,2.09734201,3.06E+00
1.00E-03,6.04E+00,2.74626184,4.39E+00
1.25E-03,7.76E+00,3.91892362,5.84E+00
1.50E-03,8.98E+00,5.02377558,7.00E+00
1.75E-03,9.70E+00,6.14868116,7.92E+00
2.00E-03,1.03E+01,7.02273321,8.69E+00
2.25E-03,1.12E+01,7.7862215,9.48E+00
2.50E-03,1.21E+01,8.32627773,1.02E+01
2.75E-03,1.26E+01,8.76431847,1.07E+01
3.00E-03,1.29E+01,9.2863493,1.11E+01
3.25E-03,1.33E+01,9.74358845,1.15E+01
3.50E-03,1.36E+01,10.1517906,1.19E+01
3.75E-03,1.40E+01,10.5163698,1.22E+01
4.00E-03,1.43E+01,10.8384686,1.25E+01
4.25E-03,1.44E+01,11.084096,1.28E+01
4.50E-03,1.45E+01,11.2667923,1.29E+01
4.75E-03,1.44E+01,11.3110209,1.29E+01
5.00E-03,1.43E+01,11.2587986,1.28E+01
5.25E-03,1.42E+01,11.1524687,1.27E+01
5.50E-03,1.41E+01,11.04743,1.26E+01
5.75E-03,1.41E+01,10.9301558,1.25E+01
6.00E-03,1.41E+01,10.7870693,1.24E+01
6.25E-03,1.40E+01,10.6117611,1.23E+01
6.50E-03,1.39E+01,10.423748,1.21E+01
6.75E-03,1.36E+01,10.2252245,1.19E+01
7.00E-03,1.34E+01,10.0140066,1.17E+01
7.25E-03,1.30E+01,9.79687309,1.14E+01
7.50E-03,1.27E+01,9.56425762,1.11E+01
7.75E-03,1.27E+01,9.38762665,1.10E+01
8.00E-03,1.26E+01,9.21084785,1.09E+01
8.25E-03,1.24E+01,9.02901173,1.07E+01
8.50E-03,1.22E+01,8.84076881,1.05E+01
8.75E-03,1.19E+01,8.64820099,1.03E+01
9.00E-03,1.17E+01,8.4499979,1.01E+01
9.25E-03,1.14E+01,8.24459457,9.81E+00
9.50E-03,1.11E+01,8.03150463,9.55E+00
9.75E-03,1.07E+01,7.81327009,9.28E+00
1.00E-02,1.04E+01,7.59122801,9.01E+00
1.02E-02,1.01E+01,7.3656044,8.74E+00
1.05E-02,9.78E+00,7.13749695,8.46E+00
1.07E-02,9.46E+00,6.9097085,8.18E+00
1.10E-02,9.13E+00,6.68414879,7.91E+00
1.12E-02,8.82E+00,6.46179533,7.64E+00
1.15E-02,8.50E+00,6.24475336,7.37E+00
1.17E-02,8.18E+00,6.03388405,7.11E+00
1.20E-02,7.87E+00,5.82965994,6.85E+00
1.22E-02,7.55E+00,5.63235521,6.59E+00
1.25E-02,7.25E+00,5.44286919,6.34E+00
1.27E-02,6.94E+00,5.25978661,6.10E+00
1.30E-02,6.63E+00,5.08716917,5.86E+00
1.32E-02,6.33E+00,4.92376947,5.63E+00
1.35E-02,6.03E+00,4.76207495,5.40E+00
1.37E-02,5.73E+00,4.620327,5.17E+00
1.40E-02,5.43E+00,4.4837079,4.96E+00
1.42E-02,5.13E+00,4.35080338,4.74E+00
1.45E-02,4.83E+00,4.23251724,4.53E+00
1.47E-02,4.55E+00,4.12313986,4.34E+00
1.50E-02,4.25E+00,4.02235174,4.14E+00
1.52E-02,3.96E+00,3.93033552,3.95E+00
1.55E-02,3.71E+00,3.84597921,3.78E+00
1.57E-02,3.57E+00,3.76443553,3.67E+00
1.60E-02,3.43E+00,3.6689961,3.55E+00
1.62E-02,3.26E+00,3.61301565,3.44E+00
1.65E-02,3.12E+00,3.53991246,3.33E+00
1.67E-02,2.94E+00,3.47420692,3.21E+00
1.70E-02,2.82E+00,3.43434644,3.13E+00
